Timestamp,Power_Generated,Solar_Radiation,anomaly_score,threshold,threshold_margin,status
2022-04-28 13:56:00,373.28291999999999,979.13919999999996,0.67836257525180321,0.71352427601826951,-0.035161700766466297,NORMAL
2022-04-28 13:58:00,373.33244000000002,959.26711999999998,0.6772154233333112,0.71352427601826951,-0.036308852684958315,NORMAL
2022-04-28 14:00:00,373.68815999999998,951.99063999999998,0.67770547059868413,0.71352427601826951,-0.035818805419585376,NORMAL
2022-04-28 14:02:00,373.99955999999997,945.96543999999994,0.67281720730947103,0.71352427601826951,-0.040707068708798477,NORMAL
2022-04-28 14:04:00,374.60075999999998,953.53584000000001,0.67233031799107712,0.71352427601826951,-0.04119395802719239,NORMAL
2022-04-28 14:06:00,374.69988000000001,960.76103999999998,0.67103456308451781,0.71352427601826951,-0.0424897129337517,NORMAL
2022-04-28 14:08:00,375.32551999999998,927.71655999999996,0.67307690713278001,0.71352427601826951,-0.040447368885489499,NORMAL
2022-04-28 14:10:00,375.33012000000002,919.93376000000001,0.67088553610554114,0.71352427601826951,-0.042638739912728374,NORMAL
2022-04-28 14:12:00,375.99603999999999,928.39095999999995,0.67186016767080114,0.71352427601826951,-0.041664108347468365,NORMAL
2022-04-28 14:14:00,375.8322,930.46896000000004,0.67301859898710226,0.71352427601826951,-0.040505677031167253,NORMAL
2022-04-28 14:16:00,374.32283999999999,908.28880000000004,0.67388053551540983,0.71352427601826951,-0.039643740502859681,NORMAL
2022-04-28 14:18:00,375.00700000000001,910.74735999999996,0.67135103266785912,0.71352427601826951,-0.042173243350410394,NORMAL
2022-04-28 14:20:00,374.54683999999997,894.92344000000003,0.65438301801582932,0.71352427601826951,-0.059141258002440189,NORMAL
2022-04-28 14:22:00,374.95819999999998,888.64512000000002,0.65437600228100923,0.71352427601826951,-0.059148273737260282,NORMAL
2022-04-28 14:24:00,374.62180000000001,869.20327999999995,0.6722510447749348,0.71352427601826951,-0.041273231243334707,NORMAL
2022-04-28 14:26:00,374.54079999999999,864.89328,0.66623857373364392,0.71352427601826951,-0.047285702284625586,NORMAL
2022-04-28 14:28:00,375.65732000000003,858.45039999999995,0.67354905913330754,0.71352427601826951,-0.039975216884961973,NORMAL
2022-04-28 14:30:00,374.74239999999998,839.62800000000004,0.67193104379857138,0.71352427601826951,-0.041593232219698129,NORMAL
2022-04-28 14:32:00,374.78248000000002,832.00631999999996,0.66627913910176539,0.71352427601826951,-0.047245136916504116,NORMAL
2022-04-28 14:34:00,375.02348000000001,817.33280000000002,0.67480119488668278,0.71352427601826951,-0.038723081131586734,NORMAL
2022-04-28 14:36:00,375.07243999999997,821.74192000000005,0.66807182175537361,0.71352427601826951,-0.045452454262895903,NORMAL
2022-04-28 14:38:00,375.50999999999999,824.11551999999995,0.66842445892555324,0.71352427601826951,-0.045099817092716266,NORMAL
2022-04-28 14:40:00,374.38603999999998,811.61216000000002,0.65340306191553177,0.71352427601826951,-0.060121214102737741,NORMAL
2022-04-28 14:42:00,375.26819999999998,832.58687999999995,0.66189819202964317,0.71352427601826951,-0.051626083988626337,NORMAL
2022-04-28 14:44:00,374.72575999999998,829.24680000000001,0.66852002430291679,0.71352427601826951,-0.045004251715352717,NORMAL
2022-04-28 14:46:00,374.34688,800.54952000000003,0.67416169593238706,0.71352427601826951,-0.039362580085882448,NORMAL
2022-04-28 14:48:00,376.35579999999999,839.82272,0.66399487808162871,0.71352427601826951,-0.049529397936640795,NORMAL
2022-04-28 14:50:00,373.41944000000001,788.35583999999994,0.66475598875268338,0.71352427601826951,-0.04876828726558613,NORMAL
2022-04-28 14:52:00,374.21908000000002,771.23263999999995,0.66222549751133264,0.71352427601826951,-0.051298778506936871,NORMAL
2022-04-28 14:54:00,374.00995999999998,752.17664000000002,0.66281984998146359,0.71352427601826951,-0.050704426036805916,NORMAL
2022-04-28 14:56:00,373.52076,721.61904000000004,0.66171126817810366,0.71352427601826951,-0.051813007840165848,NORMAL
2022-04-28 14:58:00,373.3734,700.34695999999997,0.66533475199986791,0.71352427601826951,-0.048189524018401597,NORMAL
2022-04-28 15:00:00,374.19607999999999,689.50023999999996,0.64391803762808031,0.71352427601826951,-0.069606238390189201,NORMAL
2022-04-28 15:02:00,374.35376000000002,681.96528000000001,0.66303428320198965,0.71352427601826951,-0.050489992816279861,NORMAL
2022-04-28 15:04:00,374.42856,662.85260000000005,0.63450945197521547,0.71352427601826951,-0.079014824043054044,NORMAL
2022-04-28 15:06:00,377.09751999999997,664.75716,0.65691235676729198,0.71352427601826951,-0.056611919250977527,NORMAL
2022-04-28 15:08:00,376.31407999999999,635.81732,0.65094506784874429,0.71352427601826951,-0.062579208169525224,NORMAL
2022-04-28 15:10:00,376.45103999999998,618.91188,0.64145703938047205,0.71352427601826951,-0.07206723663779746,NORMAL
2022-04-28 15:12:00,377.33904000000001,601.63472000000002,0.63805548650744059,0.71352427601826951,-0.075468789510828915,NORMAL
