frame_index,video_time_seconds,class_id,class_name,confidence,x1,y1,x2,y2
0,0.0,3,electrical-damage,0.5155126452445984,295.66473388671875,143.1743927001953,380.1503601074219,225.56658935546875
0,0.0,1,clean,0.42929360270500183,12.356796264648438,252.623291015625,616.3114013671875,426.0441589355469
0,0.0,1,clean,0.3932834267616272,9.747085571289062,74.64805603027344,638.4495239257812,362.5733947753906
0,0.0,1,clean,0.3361184000968933,20.675277709960938,74.67926025390625,636.7490844726562,269.80560302734375
1,0.5,3,electrical-damage,0.5197107195854187,296.6346435546875,143.5870361328125,380.0010986328125,230.66009521484375
1,0.5,1,clean,0.43878883123397827,12.256050109863281,253.1243896484375,616.7542724609375,425.8632507324219
1,0.5,1,clean,0.3804156482219696,13.414230346679688,75.02388000488281,638.5641479492188,359.4487609863281
1,0.5,1,clean,0.32583367824554443,28.179340362548828,75.2435302734375,636.77001953125,269.66693115234375
2,1.0,0,bird-drop,0.4283130168914795,73.42658996582031,330.24053955078125,148.7649383544922,376.7649841308594
2,1.0,0,bird-drop,0.3392311632633209,115.03646850585938,125.83589172363281,177.8994903564453,162.1284637451172
2,1.0,0,bird-drop,0.33457863330841064,46.796932220458984,406.8990173339844,86.18264770507812,439.8447265625
2,1.0,0,bird-drop,0.32923826575279236,450.58758544921875,374.1371154785156,590.0972900390625,438.9265441894531
2,1.0,0,bird-drop,0.3116324245929718,417.5056457519531,212.37060546875,460.8418273925781,249.86038208007812
2,1.0,0,bird-drop,0.3000503182411194,118.40158081054688,290.2030029296875,167.19322204589844,325.4823303222656
2,1.0,0,bird-drop,0.2770979106426239,0.038428306579589844,405.97418212890625,26.417831420898438,448.0101623535156
3,1.5,0,bird-drop,0.4281923174858093,73.42753601074219,330.24053955078125,148.7653350830078,376.76519775390625
3,1.5,0,bird-drop,0.3389998972415924,115.03929138183594,125.83595275878906,177.899658203125,162.12799072265625
3,1.5,0,bird-drop,0.33462512493133545,46.797149658203125,406.8981628417969,86.18270874023438,439.8464660644531
3,1.5,0,bird-drop,0.3293423354625702,450.61907958984375,374.1551513671875,590.0921630859375,438.9206237792969
3,1.5,0,bird-drop,0.3114223778247833,417.50830078125,212.3697967529297,460.8426513671875,249.85870361328125
3,1.5,0,bird-drop,0.2999131381511688,118.40116119384766,290.203125,167.19285583496094,325.48260498046875
3,1.5,0,bird-drop,0.2772098779678345,0.03887176513671875,405.9732360839844,26.418603897094727,448.0299072265625
4,2.0,1,clean,0.6105086803436279,79.4967269897461,247.944091796875,561.7964477539062,479.6968688964844
4,2.0,1,clean,0.432157427072525,86.29364013671875,54.78569030761719,554.123291015625,422.095703125
5,2.5,1,clean,0.6105480790138245,79.5754623413086,247.9916229248047,561.839599609375,479.69512939453125
5,2.5,1,clean,0.4334651231765747,86.08650207519531,54.80133056640625,554.1471557617188,423.6631774902344
10,5.0,0,bird-drop,0.43097272515296936,403.99261474609375,379.542236328125,450.47943115234375,420.6510925292969
10,5.0,0,bird-drop,0.42614316940307617,397.9234313964844,375.67694091796875,460.4716491699219,423.6173095703125
10,5.0,0,bird-drop,0.4252702593803406,238.4151611328125,383.62066650390625,292.10626220703125,427.9936218261719
10,5.0,0,bird-drop,0.39336612820625305,400.7862854003906,377.5527038574219,479.94384765625,421.8166198730469
10,5.0,0,bird-drop,0.37967899441719055,301.33087158203125,135.19577026367188,393.0382385253906,219.91073608398438
10,5.0,0,bird-drop,0.3639669418334961,438.6092834472656,283.50848388671875,492.7688293457031,338.4251403808594
10,5.0,0,bird-drop,0.34402281045913696,549.6464233398438,95.25514221191406,588.2694702148438,129.15663146972656
10,5.0,0,bird-drop,0.340786337852478,353.801025390625,50.91249465942383,415.0234069824219,109.33045959472656
10,5.0,0,bird-drop,0.3297159969806671,510.08856201171875,222.28134155273438,577.587646484375,284.6693420410156
10,5.0,0,bird-drop,0.32457777857780457,135.7772674560547,240.7488250732422,175.85557556152344,279.28350830078125
10,5.0,0,bird-drop,0.3158420920372009,445.4714660644531,88.76504516601562,490.7278747558594,142.39210510253906
10,5.0,0,bird-drop,0.31497764587402344,284.2522277832031,247.4009552001953,325.89208984375,279.7291564941406
10,5.0,0,bird-drop,0.3081280291080475,515.3563842773438,250.5274200439453,563.64111328125,285.6780090332031
10,5.0,0,bird-drop,0.29080599546432495,404.1164245605469,234.02259826660156,485.6388854980469,276.7454528808594
10,5.0,0,bird-drop,0.28662240505218506,280.44903564453125,243.02001953125,330.0216979980469,284.5113220214844
10,5.0,0,bird-drop,0.28243646025657654,511.7561950683594,161.81124877929688,558.51953125,204.82699584960938
10,5.0,0,bird-drop,0.2786785364151001,136.87026977539062,243.35731506347656,169.2002410888672,276.4992370605469
10,5.0,0,bird-drop,0.276814341545105,165.38394165039062,336.11212158203125,206.73411560058594,373.3121337890625
10,5.0,0,bird-drop,0.27644333243370056,428.6503601074219,281.30816650390625,506.9749450683594,340.2986755371094
10,5.0,0,bird-drop,0.27553293108940125,162.6901092529297,333.9390563964844,221.27679443359375,379.3757629394531
10,5.0,0,bird-drop,0.2648581862449646,405.6145324707031,237.7234649658203,454.31036376953125,275.5523681640625
11,5.5,0,bird-drop,0.43181276321411133,404.0232849121094,379.5482482910156,450.46722412109375,420.6558837890625
11,5.5,0,bird-drop,0.4275514781475067,397.9363098144531,375.6886901855469,460.3691711425781,423.6144104003906
11,5.5,0,bird-drop,0.4251898527145386,238.4067840576172,383.60748291015625,292.0992736816406,427.9838562011719
11,5.5,0,bird-drop,0.3965194523334503,400.8430480957031,377.562255859375,480.06744384765625,421.8190002441406
11,5.5,0,bird-drop,0.38024190068244934,301.3280029296875,135.1999969482422,393.0428771972656,219.90626525878906
11,5.5,0,bird-drop,0.3595553934574127,438.614990234375,283.64447021484375,492.7615661621094,338.37921142578125
11,5.5,0,bird-drop,0.3433709740638733,549.6491088867188,95.23941040039062,588.27294921875,129.15481567382812
11,5.5,0,bird-drop,0.3404466509819031,353.8187255859375,50.89543914794922,414.9898376464844,109.33786010742188
11,5.5,0,bird-drop,0.3296622633934021,510.1158142089844,222.29129028320312,577.5930786132812,284.6729736328125
11,5.5,0,bird-drop,0.32575133442878723,135.8017578125,240.77194213867188,175.83441162109375,279.2742614746094
11,5.5,0,bird-drop,0.3161086142063141,445.4627990722656,88.73063659667969,490.73919677734375,142.36024475097656
11,5.5,0,bird-drop,0.31417116522789,284.29827880859375,247.41477966308594,325.8912353515625,279.70550537109375
11,5.5,0,bird-drop,0.30874136090278625,515.3658447265625,250.53070068359375,563.6382446289062,285.6758728027344
11,5.5,0,bird-drop,0.29019781947135925,404.159912109375,233.9862823486328,485.7417907714844,276.8462219238281
11,5.5,0,bird-drop,0.28627610206604004,280.47393798828125,243.03001403808594,330.0252380371094,284.4833984375
11,5.5,0,bird-drop,0.2831920087337494,511.6909484863281,161.82200622558594,558.5109252929688,204.8731231689453
11,5.5,0,bird-drop,0.2790122330188751,136.89039611816406,243.37753295898438,169.1938018798828,276.49908447265625
11,5.5,0,bird-drop,0.2767336666584015,165.37234497070312,336.1055603027344,206.7638702392578,373.3428039550781
11,5.5,0,bird-drop,0.27578428387641907,162.6752471923828,333.9286804199219,221.3152313232422,379.3891906738281
11,5.5,0,bird-drop,0.27292516827583313,428.76025390625,281.344970703125,507.0166320800781,340.2361145019531
11,5.5,0,bird-drop,0.2638886570930481,405.6455078125,237.74249267578125,454.2279052734375,275.57684326171875
